tile_name,lon_center,lat_center
310100_011_307,121.26472420893022,31.12706694114283
310100_011_308,121.27260359360614,31.1264754601939
310100_011_309,121.28412154098822,31.125866692019947
310100_011_310,121.29229037064182,31.126939436547556
310100_011_311,121.30255117549594,31.126529432556442
310100_011_312,121.31094049861382,31.128130057913488
310100_011_313,121.3197273645088,31.127295668478627
310100_011_314,121.32429988962629,31.126427650931994
310100_011_326,121.25087129573214,31.13332273466668
310100_011_327,121.25654460366638,31.133915515516147
310100_011_328,121.2659223322425,31.133160110256963
310100_011_329,121.27515709390262,31.133371736004314
310100_011_330,121.28353640112599,31.134859604753828
310100_011_331,121.29224890435619,31.135778876501814
310100_011_332,121.30260053212088,31.13429061599318
310100_011_333,121.3093065236777,31.133838855415405
310100_011_334,121.31897185663728,31.133348450581224
310100_011_348,121.2555461305125,31.140434578092556
310100_011_349,121.26788536864362,31.143254344905635
310100_011_350,121.27379887245813,31.143391574420523
310100_011_351,121.28455588643227,31.141955718662576
310100_011_352,121.29265758392033,31.142666594702547
310100_011_353,121.30246860544761,31.141612380442275
310100_011_354,121.30892246018155,31.14208523662714
310100_011_355,121.32015489369259,31.14258378544347
310100_011_356,121.3243811613099,31.142892970457932
310100_011_369,121.25710729041437,31.152416274393662
310100_011_370,121.26580003663197,31.15053590171623
310100_011_371,121.2761661588801,31.149451269168036
310100_011_372,121.28388196910454,31.150179477080357
310100_011_373,121.29319422765883,31.14960180370002
310100_011_374,121.30153667210429,31.14988166151057
310100_011_375,121.31061876350873,31.15018362914637
310100_011_376,121.31963852970314,31.15000345440385
310100_011_377,121.32431467584628,31.147201399554852
310100_011_389,121.25188439487404,31.15575506689254
310100_011_390,121.2578374358545,31.158071431401293
310100_011_391,121.26651224556606,31.156787661860072
310100_011_392,121.27338681306979,31.157410431812156
310100_011_393,121.285226522176,31.15926051537337
310100_011_394,121.29202300971053,31.158855583194416
310100_011_395,121.3015182387223,31.158404269257257
310100_011_396,121.31092862291669,31.15764362292794
310100_011_397,121.3196581692937,31.157760738087145
310100_011_410,121.25186820676852,31.16475990014432
310100_011_411,121.25827317676826,31.166258521205844
310100_011_412,121.2648349535857,31.16604444342917
310100_011_413,121.27434038799367,31.165873282206718
310100_011_414,121.28446455160973,31.16616445758714
310100_011_415,121.29322082394042,31.16574005520959
310100_011_416,121.30114287187416,31.165525974798324
310100_011_417,121.3111193666399,31.166150595699342
310100_011_418,121.31887929297675,31.16565629255408
310100_011_419,121.32425317519692,31.168792315211604
310100_011_431,121.25182058782899,31.172927978536418
310100_011_432,121.25727722602556,31.172716143840322
310100_011_433,121.26571566476231,31.17240142557179
310100_011_434,121.27386466813347,31.173188725651634
310100_011_435,121.28405314113567,31.172842147103356
310100_011_436,121.29318044007009,31.17252291560076
310100_011_437,121.30177749090095,31.172876842497708
310100_011_438,121.30987476410564,31.17303484293099
310100_011_439,121.31940150463598,31.171882306175004
310100_011_452,121.25175801577751,31.177596739416472
310100_011_453,121.2578819513562,31.17967583978683
310100_011_454,121.26765815548812,31.18026354217901
310100_011_455,121.27460699000248,31.180808533230326
310100_011_456,121.28276265502583,31.180811215257066
310100_011_457,121.29314523769436,31.18134256158435
310100_011_458,121.30236196200188,31.180862875623642
310100_011_459,121.30912705335842,31.18053090660139
310100_011_460,121.32183147657882,31.181372061830874
310100_011_461,121.32426124467207,31.179028631185293
310100_011_473,121.25186443202568,31.187850679251788
310100_011_474,121.2586342992159,31.188628957989692
310100_011_475,121.26623340344513,31.18939932063459
310100_011_476,121.27338504190644,31.189374943841287
310100_011_477,121.28412041854634,31.187917959068123
310100_011_478,121.29308417979911,31.18680902271457
310100_011_479,121.30278475677696,31.18761855053267
310100_011_480,121.31102934633124,31.18862364101716
310100_011_494,121.25187184520792,31.192733508655913
310100_011_495,121.25539461119665,31.19368184284593
310100_011_496,121.26655500250648,31.193715102420313
310100_011_497,121.27453282075312,31.19357409090733
310100_011_498,121.28430919076423,31.194063831658145
310100_011_499,121.29217194561582,31.194121835746127
310100_011_500,121.3026491492773,31.19354880001219
310100_011_501,121.30941044080528,31.193771039123515
310100_012_100,121.29210437338166,31.229827735907023
310100_012_101,121.30105604901284,31.228074790170158
310100_012_102,121.31132352077235,31.229645118470568
310100_012_103,121.31975378651609,31.228847770353703
310100_012_104,121.32438268169496,31.23252184626583
310100_012_11,121.2517163892099,31.201179215231505
310100_012_116,121.25133440274277,31.240828052036225
310100_012_117,121.25742058920513,31.237242993328042
310100_012_118,121.26682169198554,31.237888009500328
310100_012_119,121.27224003128873,31.237957061436134
310100_012_12,121.25672164857227,31.199069515807302
310100_012_120,121.2837428301739,31.23787558211968
310100_012_121,121.29053836535127,31.239331161988694
310100_012_122,121.30428337386448,31.238744077299003
310100_012_123,121.31058072490089,31.237600818770254
310100_012_124,121.31926274489936,31.237631219183417
310100_012_13,121.26643478440515,31.199976774738726
310100_012_137,121.25177407045227,31.24630297244382
310100_012_138,121.25789622010173,31.245999371342553
310100_012_139,121.2673194122686,31.244709381659607
310100_012_14,121.27474249339399,31.199829767172222
310100_012_140,121.27299695972701,31.244538903281857
310100_012_141,121.28352401946415,31.243422159378362
310100_012_142,121.29455649354452,31.248103435800616
310100_012_143,121.30261251193059,31.245602467123256
310100_012_144,121.31075195435113,31.245266133005998
310100_012_145,121.32012487387965,31.246590711834905
310100_012_146,121.32429417355118,31.246754929615083
310100_012_15,121.28344749576604,31.19899876740206
310100_012_159,121.25831483354818,31.249554374689247
310100_012_16,121.29268735983155,31.199740229649343
310100_012_160,121.26296363992542,31.249620286480308
310100_012_161,121.2732915113165,31.249913000873814
310100_012_162,121.28440247319844,31.24972200047138
310100_012_163,121.29355228487393,31.249609925266327
310100_012_164,121.3026739024911,31.24958106598847
310100_012_165,121.31019713696173,31.249653158663655
310100_012_166,121.32005280754858,31.249669574994197
310100_012_17,121.30135075190428,31.199687452244607
310100_012_18,121.31002416936123,31.198584744393326
310100_012_19,121.32078258671395,31.19779329939509
310100_012_20,121.32426261733097,31.19958766579709
310100_012_33,121.25721078186085,31.20532044538396
310100_012_34,121.26722766365992,31.205888876975003
310100_012_35,121.27462826320267,31.20668156209232
310100_012_36,121.28416921036549,31.207539586869864
310100_012_37,121.29231121361693,31.206796916513955
310100_012_38,121.30194845534292,31.207099979280308
310100_012_39,121.30998647491855,31.20710449831509
310100_012_40,121.31836085608616,31.207200444076605
310100_012_41,121.32425105320449,31.207875281984403
310100_012_53,121.25194617265906,31.214544220029374
310100_012_54,121.25563170095971,31.215203417580476
310100_012_55,121.26669969791992,31.215499356284933
310100_012_56,121.27514397987986,31.214662197571023
310100_012_57,121.28430248880194,31.214465954238776
310100_012_58,121.29276230094173,31.214416209209226
310100_012_59,121.30179359846647,31.21411047988895
310100_012_60,121.31073161734017,31.2131895386427
310100_012_61,121.31904689866074,31.21351187259891
310100_012_62,121.32426330934858,31.21313425731971
310100_012_75,121.25782297027551,31.221886203345615
310100_012_76,121.26689984057016,31.221940049539178
310100_012_77,121.27476908384338,31.22187749216618
310100_012_78,121.28371843666487,31.22247317974674
310100_012_79,121.2937010130605,31.221492041086698
310100_012_80,121.30165628299356,31.222529666066027
310100_012_81,121.31024191044011,31.22392831925211
310100_012_82,121.32061949063673,31.22305438548024
310100_012_83,121.32429736705647,31.221734590397052
310100_012_96,121.25823152713286,31.22879159474091
310100_012_97,121.26519215815236,31.2300002766223
310100_012_98,121.2744885728222,31.229326042519833
310100_012_99,121.2816514220846,31.22865937450967
